Company,FileNo,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
"Anthem Health Plans, Inc",805142,10/31/2018,11/15/2018,Group Health,Prescription,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
Universal North America Insurance Company,804332,09/12/2018,11/15/2018,Homeowners,,Underwriting,Cancellation,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,900717,02/13/2019,03/11/2019,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Claim Settled,Unjustified,0.00,Closed
Liberty Insurance Corporation,805114,10/30/2018,11/15/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Justified,0.00,Closed
Liberty Insurance Corporation,805114,10/30/2018,11/15/2018,,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Justified,0.00,Closed
Allstate Fire and Casualty Insurance Company,805009,10/23/2018,11/15/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
Liberty Insurance Corporation,805067,10/29/2018,11/15/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Merrimack Mutual Fire Insurance Company,900506,01/31/2019,03/11/2019,Homeowners,,Underwriting,Cancellation,Pol Restored/Reinstated,Unjustified,0.00,Closed
Great Divide Insurance Company,805006,10/23/2018,11/15/2018,General Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Voya Retirement Insurance and Annuity Company,804974,10/19/2018,11/15/2018,Individual Annuity,Fixed Annuity,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
GEICO General Insurance Company,805161,11/01/2018,11/15/2018,Auto,,Premium and Rating,Premium Refund Delay,Premium Refund,Unjustified,415.69,Closed
Universal North America Insurance Company,804332,09/12/2018,11/15/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Homesite Insurance Company,900676,02/11/2019,03/11/2019,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Refer To Appraisal,Unjustified,0.00,Closed
American Commerce Insurance Company,900456,01/29/2019,03/11/2019,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",900321,01/22/2019,03/11/2019,Ind Medicare Supplemental,No SubCov - AH,Premium and Rating,Premium Refund Delay,Premium Refund,Furnished Information,155.08,Closed
Liberty Insurance Corporation,805067,10/29/2018,11/15/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
Travelers Home and Marine Insurance Company (The),805071,10/29/2018,11/15/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,805009,10/23/2018,11/15/2018,Auto Liability,,Unfair Claims Practice,Loss of Use,Corrective Action,Justified,274.80,Closed
"Foremost Insurance Company Grand Rapids, Michigan",900885,02/22/2019,03/11/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Hartford Casualty Insurance Company,900010,01/02/2019,03/11/2019,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Trumbull Insurance Company,900987,02/28/2019,03/11/2019,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Travelers Indemnity Company of America (The),805093,10/29/2018,11/15/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",901085,03/06/2019,03/11/2019,Group Health,Small Employer,Employer Handling,CT Continuation 38a-512a,Furnished Information,Furnished Information,0.00,Closed
Federal Insurance Company,805182,11/02/2018,11/16/2018,Limited Benefit Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Contract Provision,Furnished Information,0.00,Closed
James River Insurance Company,900764,02/15/2019,03/11/2019,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",900898,02/25/2019,03/11/2019,Group Health,No SubCov - AH,Marketing/Sales,Policy Service Delay,Furnished Information,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",805297,11/09/2018,11/16/2018,,,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
Aetna Life Insurance Company,900805,02/19/2019,03/05/2019,A & H,Out-Patient,Unfair Claims Practice,Unsatisfactory Settlement,Insufficient Information,No Action Necessary,0.00,Closed
Trumbull Insurance Company,901999,05/03/2019,06/03/2019,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Lincoln National Life Insurance Company (The),902258,05/17/2019,06/03/2019,,,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
GEICO Indemnity Company,900782,02/19/2019,03/12/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Merrimack Mutual Fire Insurance Company,900930,02/25/2019,03/12/2019,Homeowners,,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
Pilgrim Insurance Company,804592,09/26/2018,10/26/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Allstate Insurance Company,900879,02/22/2019,03/12/2019,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",900818,02/19/2019,03/12/2019,Group Health,Out-Patient,Marketing/Sales,No Coverage/Premium Paid,Furnished Information,Furnished Information,0.00,Closed
"Oxford Health Plans (CT), Inc",900704,02/13/2019,03/12/2019,,,Utilization Review,Medical Necessity,Extl Rev Info Sent/SF,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",805297,11/09/2018,11/16/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
ConnectiCare Inc,805172,11/01/2018,11/16/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",900570,02/05/2019,02/27/2019,Exchange-Individual Hlth,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Cancellation Upheld,Furnished Information,0.00,Closed
Transamerica Advisors Life Insurance Company,900401,01/24/2019,03/12/2019,A & H,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",900954,02/26/2019,03/12/2019,,,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
Continental Casualty Company,901155,03/11/2019,03/12/2019,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
UnitedHealthcare Insurance Company,900944,02/26/2019,03/12/2019,,,Utilization Review,Medical Necessity,Company Position Upheld,Furnished Information,0.00,Closed
State Farm Mutual Automobile Insurance Company,900880,02/22/2019,03/12/2019,Auto,,Premium and Rating,Premium/Notice,Corrective Action,Unjustified,580.99,Closed
Allstate Fire and Casualty Insurance Company,900514,02/01/2019,03/12/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,2485.43,Closed
Transamerica Advisors Life Insurance Company,900401,01/24/2019,03/12/2019,,,Marketing/Sales,No Coverage/Premium Paid,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",901136,03/08/2019,03/12/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Delays,Complaint Withdrawn,No Action Necessary,0.00,Closed
"Anthem Health Plans, Inc",900570,02/05/2019,02/27/2019,,,Marketing/Sales,No Coverage/Premium Paid,Cancellation Upheld,Furnished Information,0.00,Closed
Patrons Mutual Insurance Company of Connecticut,900673,02/11/2019,03/12/2019,Auto Liability,,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
CSAA General Insurance Company,900964,02/27/2019,03/12/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
"Oxford Health Plans (CT), Inc",900704,02/13/2019,03/12/2019,Group Health,Behavl Hlth/Subst Abuse,Utilization Review,Medical Necessity,Extl Rev Info Sent/SF,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",805033,10/24/2018,11/19/2018,,,Unfair Claims Practice,Provider Contract Issue,Provider Issue,Furnished Information,0.00,Closed
Transamerica Casualty Insurance Company,804740,10/09/2018,11/19/2018,Travel Insurance,,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,400.00,Closed
Allstate Fire and Casualty Insurance Company,805000,10/23/2018,11/19/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,804538,09/24/2018,10/17/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Provider Contract Issue,Corrective Action,Furnished Information,0.00,Closed
U.S. Financial Life Insurance Company,805222,11/05/2018,11/19/2018,Individual Life,Universal Life,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
LM General Insurance Company,804948,10/18/2018,11/19/2018,Auto,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
New York Life Insurance and Annuity Corporation,805348,11/13/2018,11/19/2018,Individual Annuity,Fixed Annuity,Unfair Claims Practice,Claim Delays,Complaint Withdrawn,No Action Necessary,0.00,Closed
Allstate Indemnity Company,805145,10/31/2018,11/19/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Contract Provision,Unjustified,0.00,Closed
Kemper Independence Insurance Company,900578,02/05/2019,03/12/2019,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Additional Money Received,Questionable,296.00,Closed
Federal Insurance Company,804897,10/17/2018,11/19/2018,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",805167,11/01/2018,11/19/2018,Group Health,Prescription,Utilization Review,Medical Necessity,Company Position Upheld,Furnished Information,0.00,Closed
State Farm Mutual Automobile Insurance Company,803548,08/01/2018,08/27/2018,Auto Medical Payment,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",804970,10/19/2018,11/19/2018,Ind Medicare Supplemental,No SubCov - AH,Marketing/Sales,Duplicate Coverage,No Cause For Action,No Action Necessary,0.00,Closed
Western World Insurance Company,804935,10/17/2018,11/19/2018,Commercial Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Century-National Insurance Company,805216,11/05/2018,11/19/2018,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",900921,02/25/2019,03/12/2019,Group Health,No SubCov - AH,Premium and Rating,Premium/Notice,Company Position Upheld,Furnished Information,0.00,Closed
Federal Insurance Company,804897,10/17/2018,11/19/2018,Travel Insurance,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",900954,02/26/2019,03/12/2019,Dental,Dental,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
UnitedHealthcare Insurance Company,804970,10/19/2018,11/19/2018,Ind Medicare Supplemental,No SubCov - AH,Marketing/Sales,Duplicate Coverage,Premium Refund,Furnished Information,992.00,Closed
Twin City Fire Insurance Company,805178,11/02/2018,11/19/2018,General Liability,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",805169,11/01/2018,11/19/2018,,,Unfair Claims Practice,Carrier Never Rec'd Claim,Company Position Upheld,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",900539,02/04/2019,03/12/2019,Exchange-Individual Hlth,No SubCov - AH,Unfair Claims Practice,Network Adequacy,Furnished Information,Furnished Information,0.00,Closed
Infinity Standard Insurance Company,805029,10/24/2018,11/19/2018,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",805169,11/01/2018,11/19/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Carrier Never Rec'd Claim,Company Position Upheld,Furnished Information,0.00,Closed
Nationwide Mutual Insurance Company,805074,10/29/2018,11/19/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Hartford Insurance Company of the Midwest,804958,10/19/2018,11/19/2018,General Liability,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Ohio Mutual Insurance Company,900870,02/21/2019,03/12/2019,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Kemper Independence Insurance Company,900578,02/05/2019,03/12/2019,,,Unfair Claims Practice,Comparative Negligence,Additional Money Received,Questionable,296.00,Closed
"Anthem Health Plans, Inc",805033,10/24/2018,11/19/2018,A & H,Other,Unfair Claims Practice,Provider Contract Issue,Provider Issue,Furnished Information,0.00,Closed
ConnectiCare Inc,805424,11/16/2018,11/19/2018,Individual Health,No SubCov - AH,Premium and Rating,Premium/Notice,Furnished Information,Furnished Information,0.00,Closed
State Farm Mutual Automobile Insurance Company,803548,08/01/2018,08/27/2018,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Lexington Insurance Company,804801,10/11/2018,11/19/2018,,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
U.S. Financial Life Insurance Company,805222,11/05/2018,11/19/2018,,,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
Liberty Insurance Corporation,805150,10/31/2018,11/19/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Country Mutual Insurance Company,900677,02/11/2019,03/12/2019,Condo Unit Owner,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Lexington Insurance Company,804801,10/11/2018,11/19/2018,General Liability,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
CSAA Fire & Casualty Insurance Company,804727,10/05/2018,11/19/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Liberty Insurance Corporation,805150,10/31/2018,11/19/2018,Homeowners,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,900944,02/26/2019,03/12/2019,Group Health,Prescription,Utilization Review,Medical Necessity,Company Position Upheld,Furnished Information,0.00,Closed
State Farm Mutual Automobile Insurance Company,900869,02/21/2019,03/12/2019,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,900830,02/20/2019,03/12/2019,Auto Liability,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Unjustified,0.00,Closed
GEICO General Insurance Company,805070,10/29/2018,11/20/2018,,,Unfair Claims Practice,Claim Delays,Corrective Action,Questionable,0.00,Closed
Acadia Insurance Company,900866,02/21/2019,03/12/2019,General Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
GEICO General Insurance Company,805070,10/29/2018,11/20/2018,Auto Medical Payment,,Unfair Claims Practice,Claim Delays,Corrective Action,Questionable,0.00,Closed
Transamerica Life Insurance Company,804886,10/17/2018,11/20/2018,,,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
Combined Insurance Company of America,805238,11/06/2018,11/20/2018,Ind Disability Income,No SubCov - AH,Premium and Rating,Premium/Notice,Satisfied,Furnished Information,0.00,Closed
"Oxford Health Insurance, Incorporated",805207,11/05/2018,11/20/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Delays,Claim Settled,Justified,131.38,Closed
Trumbull Insurance Company,901950,04/30/2019,06/03/2019,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,805215,11/05/2018,11/20/2018,Auto Physical Damage,,Unfair Claims Practice,Labor Rate,Enter Arbitration,Unjustified,0.00,Closed
